Region,ISO_code,Cname,Vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,HRV,Croatia,Pol3,94,92,93,94,95,96,96,96,97,96,96,96,96,96,96,95,95,94,94,93,93,92,91,90,87,86,85,,,,,,,,,,,,
AMR,CUB,Cuba,Pol3,99,98,98,99,99,99,98,99,99,99,99,99,99,99,98,98,98,99,98,96,97,97,98,95,96,97,99,97,94,96,98,86,99,88,95,95,83,97,99
EUR,CYP,Cyprus,Pol3,97,97,97,97,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97,97,98,98,98,96,96,95,95,94,94,93,90,93,91,61,31,36,27,44,35
EUR,CZE,Czech Republic,Pol3,94,94,96,97,99,99,99,99,99,99,99,99,98,96,96,97,97,97,98,98,97,97,98,98,98,99,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),Pol3,99,99,99,99,99,99,99,99,99,98,98,99,98,97,99,99,99,98,93,87,82,76,82,88,93,99,99,98,99,79,58,70,62,65,52,52,51,51,50
AFR,COD,Democratic Republic of the Congo (the),Pol3,79,79,74,78,79,74,76,77,76,78,64,72,62,60,52,47,40,30,42,21,18,18,18,24,27,29,31,16,34,38,41,38,39,34,30,26,22,18,15
EUR,DNK,Denmark,Pol3,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97,99,99,99,99,97,99,96,98,98,99,98,99,97,94,99,96,98,99,98,99
EMR,DJI,Djibouti,Pol3,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,49,46,24,23,32,41,41,41,41,41,53,85,77,65,25,24,22,21,14,6,,
AMR,DMA,Dominica,Pol3,94,91,99,98,97,96,97,98,99,99,95,93,96,98,99,99,98,99,99,99,99,97,99,99,99,99,99,94,94,94,97,95,92,89,82,92,73,97,53
AMR,DOM,Dominican Republic (the),Pol3,89,80,82,87,90,82,85,84,85,85,86,86,88,86,66,65,74,71,71,71,68,71,70,70,98,82,73,74,90,70,65,79,79,39,99,22,43,42,46
AMR,ECU,Ecuador,Pol3,85,83,79,84,84,87,85,85,88,91,94,95,92,89,90,97,88,90,83,83,83,79,80,82,83,84,86,61,67,64,58,51,44,39,47,32,36,27,19
EMR,EGY,Egypt,Pol3,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,95,94,91,90,91,89,89,86,87,90,89,82,89,84,78,67,67,67,67
AMR,SLV,El Salvador,Pol3,83,89,95,92,93,92,93,90,89,91,98,99,96,89,90,93,81,94,98,92,99,97,94,94,89,79,61,61,80,64,63,57,51,54,30,20,42,38,42
AFR,GNQ,Equatorial Guinea,Pol3,27,27,20,17,24,30,30,39,59,57,55,54,52,50,48,46,44,43,41,39,81,81,80,79,77,76,76,75,75,15,11,8,4,4,,,,,
AFR,ERI,Eritrea,Pol3,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,95,92,89,82,93,86,75,66,58,49,32,,,,,,,,,,,,,
EUR,EST,Estonia,Pol3,92,93,93,93,93,94,94,93,94,95,95,95,95,96,95,95,94,94,93,91,88,86,86,80,76,67,,,,,,,,,,,,,
AFR,SWZ,Eswatini,Pol3,90,90,90,84,98,98,92,85,89,89,89,88,88,88,88,87,87,87,87,86,86,86,81,81,96,86,93,79,89,89,89,74,72,59,49,43,39,22,
AFR,ETH,Ethiopia,Pol3,67,76,74,78,68,70,70,70,69,65,63,61,59,56,54,55,55,55,55,57,70,83,73,65,57,28,13,21,49,26,16,16,7,6,4,4,3,3,3
WPR,FJI,Fiji,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,95,94,92,91,90,89,88,99,99,96,96,98,99,96,99,99,92,73,68,72,81,65,62,55
EUR,FIN,Finland,Pol3,91,89,92,97,98,98,99,99,99,99,97,97,97,97,96,96,95,95,96,95,95,95,99,99,98,99,99,97,90,90,99,97,95,89,84,78,78,90,90
EUR,FRA,France,Pol3,96,96,96,97,98,99,99,99,99,98,99,99,99,98,99,96,97,98,98,98,97,97,97,97,97,95,95,95,95,84,81,89,97,97,97,92,86,80,80
AFR,GAB,Gabon,Pol3,64,74,74,79,68,77,80,75,68,74,81,78,44,44,44,44,44,44,44,44,47,50,60,70,69,67,66,72,78,78,72,65,59,48,,,,,
AFR,GMB,Gambia,Pol3,93,92,95,96,97,96,98,95,97,97,96,94,94,94,88,87,86,85,84,83,91,99,97,98,97,96,94,94,94,92,88,80,67,62,78,70,76,66,53
EUR,GEO,Georgia,Pol3,93,91,92,91,91,94,93,88,88,93,90,88,89,82,66,74,89,83,81,82,80,81,82,82,82,82,68,,,,,,,,,,,,
EUR,DEU,Germany,Pol3,93,93,93,93,93,93,94,94,94,95,95,95,94,95,96,96,97,96,94,94,94,95,95,95,95,95,80,80,80,80,80,80,90,85,90,94,95,95,80
AFR,GHA,Ghana,Pol3,98,94,95,88,94,91,91,91,94,94,92,94,84,85,81,80,80,81,88,78,78,72,72,71,71,67,62,60,57,50,45,40,29,18,19,23,25,25,7
EUR,GRC,Greece,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,93,92,90,89,87,91,95,95,95,95,95,95,77,96,96,98,97,97,96,98,97,96,95,90
AMR,GRD,Grenada,Pol3,96,91,98,99,81,98,98,95,94,99,99,96,91,99,84,98,98,96,97,87,95,95,80,77,95,91,90,82,69,86,64,81,92,77,75,72,61,41,32
AMR,GTM,Guatemala,Pol3,85,81,82,90,65,84,94,88,94,92,96,85,90,87,88,84,82,78,80,75,77,73,73,80,73,77,70,69,74,58,58,18,36,42,48,44,45,42,43
AFR,GIN,Guinea,Pol3,45,45,45,45,42,49,56,63,62,60,59,46,53,59,65,61,56,52,47,43,59,46,48,54,53,53,52,37,18,16,16,16,16,16,15,15,15,,
AFR,GNB,Guinea-Bissau,Pol3,89,89,89,89,88,88,87,85,82,78,77,76,74,73,69,65,60,56,52,48,54,60,54,45,69,63,66,63,60,54,70,55,47,18,4,3,,,
AMR,GUY,Guyana,Pol3,94,94,94,92,97,98,97,93,95,97,93,94,92,93,91,91,93,90,79,83,90,88,83,87,90,92,87,81,79,79,69,77,67,77,41,62,73,37,42
AMR,HTI,Haiti,Pol3,64,64,64,64,63,64,66,67,66,65,64,62,61,60,58,56,54,52,50,48,45,42,42,42,41,39,37,35,40,50,48,28,24,19,13,6,7,3,8
AMR,HND,Honduras,Pol3,90,89,94,98,98,98,98,97,97,97,93,94,94,98,94,92,95,99,88,95,97,93,94,94,95,95,94,93,87,86,70,61,63,58,73,51,47,37,31
EUR,HUN,Hungary,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,98,98,99,98,98
EUR,ISL,Iceland,Pol3,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,94,99,99,99,99,99,99,99,99,97,98,99,99
SEAR,IND,India,Pol3,89,89,86,86,84,82,79,79,76,73,69,67,66,65,58,57,58,58,57,57,60,63,67,71,67,61,56,58,66,55,37,27,16,14,12,10,8,2,2
SEAR,IDN,Indonesia,Pol3,80,80,80,80,80,86,84,81,82,85,83,77,78,79,79,80,80,77,72,86,87,79,83,71,69,67,65,62,60,56,53,49,46,13,6,4,1,1,
EMR,IRN,Iran (Islamic Republic of),Pol3,99,99,99,98,99,98,99,99,99,99,99,98,99,95,98,99,99,95,99,99,99,99,99,97,95,99,97,88,90,82,88,58,58,63,34,34,74,47,38
EMR,IRQ,Iraq,Pol3,71,86,77,72,74,76,73,82,74,78,71,74,63,69,69,73,76,80,83,87,79,80,77,73,72,70,74,79,83,87,91,95,91,86,63,16,16,16,16
EUR,IRL,Ireland,Pol3,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86,86,84,76,77,77,78,79,80,80,81,81,72,78,84,90,74,76,79,76,72
EUR,ISR,Israel,Pol3,98,98,94,95,95,96,94,94,95,96,94,95,94,95,95,93,91,93,93,92,92,95,95,96,97,97,96,94,93,93,94,93,93,86,87,88,93,93,85
EUR,ITA,Italy,Pol3,95,95,93,93,95,96,96,96,96,96,96,97,97,97,97,97,96,96,97,97,96,98,97,98,98,97,97,98,98,75,85,81,95,92,90,90,,,
AMR,JAM,Jamaica,Pol3,98,93,99,91,93,86,96,93,94,90,91,94,99,99,97,99,99,99,95,90,88,90,92,91,93,80,74,86,87,84,83,82,74,58,57,47,72,37,34
WPR,JPN,Japan,Pol3,97,97,99,99,99,99,99,96,98,99,98,97,95,95,97,97,89,81,98,98,97,97,99,97,94,91,94,94,90,93,94,95,95,95,95,95,95,,
EMR,JOR,Jordan,Pol3,92,99,98,99,98,98,98,98,98,98,98,98,98,95,95,97,95,97,94,85,99,99,96,95,94,91,92,92,92,94,92,89,88,84,81,77,75,81,32
EUR,KAZ,Kazakhstan,Pol3,98,99,82,98,95,98,98,99,98,99,99,94,99,99,99,99,95,95,96,99,99,99,98,94,69,69,87,,,,,,,,,,,,
AFR,KEN,Kenya,Pol3,81,81,88,83,93,94,94,97,90,89,88,76,77,70,73,75,83,77,80,81,81,81,87,94,92,89,87,86,84,83,82,77,72,70,57,,,,
WPR,KIR,Kiribati,Pol3,93,90,82,80,79,91,92,95,95,84,74,93,86,74,61,79,96,88,90,76,83,93,82,58,81,99,90,76,97,86,62,5,10,15,23,25,40,20,10
EMR,KWT,Kuwait,Pol3,99,99,99,99,94,99,98,99,98,99,99,99,99,99,98,99,99,99,94,94,94,99,99,99,99,97,89,80,71,94,94,93,91,91,89,90,84,79,70
EUR,KGZ,Kyrgyzstan,Pol3,92,93,97,97,95,97,94,94,88,96,95,94,93,98,98,98,99,99,99,99,97,99,94,96,84,69,91,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),Pol3,67,68,66,80,88,86,78,79,76,67,60,46,56,50,46,52,55,55,57,64,67,69,68,64,58,26,27,22,26,22,17,10,6,4,5,7,7,7,
EUR,LVA,Latvia,Pol3,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,98,97,96,95,94,92,93,98,98,83,95,,,,,,,,,,,,
EMR,LBN,Lebanon,Pol3,81,81,81,81,81,81,80,79,77,76,75,75,75,74,74,74,77,80,83,86,89,92,94,93,93,91,88,86,82,78,62,46,30,17,4,6,9,4,
AFR,LSO,Lesotho,Pol3,90,90,90,90,90,90,93,95,92,89,86,87,88,88,89,90,84,78,82,86,86,86,87,88,87,86,84,83,82,81,79,78,79,80,72,64,59,54,56
AFR,LBR,Liberia,Pol3,84,86,79,52,49,75,80,77,71,84,79,67,66,66,47,49,51,54,56,58,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,Pol3,97,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94,94,95,96,96,95,95,96,90,87,84,87,84,82,82,81,81,79,72,67,60
EUR,LTU,Lithuania,Pol3,92,94,94,93,93,93,93,92,95,98,96,95,94,93,90,91,97,97,92,88,88,95,93,89,88,86,88,,,,,,,,,,,,
EUR,LUX,Luxembourg,Pol3,99,99,99,99,99,99,99,96,96,96,96,96,99,99,99,99,99,99,99,99,98,98,98,96,94,92,90,90,90,90,90,90,90,90,90,90,,,
AFR,MDG,Madagascar,Pol3,76,71,75,71,73,73,71,73,70,76,77,83,83,80,74,65,61,60,58,57,53,48,48,56,64,64,64,54,46,42,41,34,28,21,13,11,8,,
AFR,MWI,Malawi,Pol3,91,87,83,88,87,89,95,97,86,93,92,88,99,94,94,85,79,86,73,77,93,94,82,90,84,91,98,96,93,90,72,78,53,55,56,58,58,57,28
WPR,MYS,Malaysia,Pol3,99,99,98,99,97,97,97,96,96,97,97,97,95,96,95,96,94,95,98,97,97,98,97,98,94,91,91,91,90,84,67,68,62,56,55,55,66,69,67
SEAR,MDV,Maldives,Pol3,99,99,99,99,99,99,99,96,97,98,98,98,98,98,96,98,98,97,98,98,97,97,96,97,97,98,98,97,94,91,86,42,42,28,24,13,1,1,4
AFR,MLI,Mali,Pol3,73,70,67,65,62,57,65,72,77,77,74,76,79,78,70,67,65,56,53,53,52,52,53,49,39,46,38,34,42,26,18,8,6,8,,,,,
EUR,MLT,Malta,Pol3,97,98,97,97,99,99,99,96,76,73,72,76,83,94,89,94,95,95,94,93,92,92,92,92,78,83,81,86,86,88,79,87,73,84,90,85,80,75,
WPR,MHL,Marshall Islands (the),Pol3,80,79,69,85,77,79,80,88,95,99,96,91,95,88,68,80,80,56,36,86,86,71,77,64,62,52,62,71,89,63,37,33,,,,,,,
AFR,MRT,Mauritania,Pol3,81,81,73,67,81,80,80,73,52,63,73,75,68,71,68,75,91,75,58,61,16,28,50,56,50,44,39,28,33,28,29,10,11,16,21,20,19,18,
AFR,MUS,Mauritius,Pol3,98,95,96,98,98,98,98,98,99,99,99,96,98,97,98,99,88,93,88,85,90,90,90,93,89,89,88,91,86,86,87,96,97,91,87,91,96,83,90
AMR,MEX,Mexico,Pol3,88,85,96,87,87,83,99,97,95,95,96,98,98,98,98,98,98,97,97,96,96,95,95,92,92,83,91,87,66,96,95,97,96,67,99,88,99,99,91
WPR,FSM,Micronesia (Federated States of),Pol3,75,72,68,71,76,81,81,83,85,81,88,79,81,94,82,88,84,79,85,76,79,75,78,81,81,79,79,78,85,78,71,56,,,,,,,
EUR,MCO,Monaco,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
WPR,MNG,Mongolia,Pol3,99,99,99,99,99,98,99,99,96,96,95,99,98,99,99,98,98,95,94,94,94,92,90,86,77,79,54,78,87,87,87,86,86,86,86,86,86,86,86
EUR,MNE,Montenegro,Pol3,87,87,89,89,91,94,94,95,93,91,95,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,Pol3,99,99,99,99,99,99,99,98,99,99,99,95,97,98,97,91,94,93,95,91,93,95,95,90,87,86,87,82,81,80,82,82,63,51,45,41,32,,
AFR,MOZ,Mozambique,Pol3,80,80,80,80,79,78,73,73,73,74,74,75,73,71,69,67,76,72,69,65,62,58,55,57,55,49,50,46,46,47,38,38,32,25,32,38,43,32,
SEAR,MMR,Myanmar,Pol3,91,89,89,89,88,76,87,90,90,90,85,84,82,86,92,86,84,77,88,88,90,90,87,84,77,73,71,66,88,45,22,10,4,3,2,3,1,,
AFR,NAM,Namibia,Pol3,84,83,84,92,88,89,84,85,83,83,83,81,74,86,81,82,78,79,80,72,74,69,71,73,80,79,70,70,,,,,,,,,,,
WPR,NRU,Nauru,Pol3,90,87,97,91,95,87,79,99,99,99,99,99,90,80,73,66,59,99,27,64,72,36,46,56,60,63,67,70,74,70,67,55,59,73,52,,,,
SEAR,NPL,Nepal,Pol3,91,90,85,90,92,92,90,92,83,93,82,82,91,78,80,76,72,73,74,76,66,70,60,50,54,51,48,45,42,42,43,43,34,20,6,4,3,1,
EUR,NLD,Netherlands (the),Pol3,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,96,96
WPR,NZL,New Zealand,Pol3,93,94,92,92,93,92,93,95,93,92,89,88,89,89,87,86,84,82,82,85,82,99,94,87,84,76,68,68,90,83,75,74,84,84,84,72,,,
AMR,NIC,Nicaragua,Pol3,99,99,99,99,99,99,99,99,99,99,97,93,88,87,80,86,85,89,85,85,83,83,83,83,84,84,84,85,90,87,91,99,94,88,81,83,71,24,21
AFR,NER,Niger (the),Pol3,79,85,82,83,79,62,71,40,75,71,68,57,52,46,45,44,43,42,41,40,33,25,23,23,20,20,20,19,22,13,9,7,5,4,5,5,6,6,
AFR,NGA,Nigeria,Pol3,57,57,57,40,50,46,42,48,54,66,60,54,46,45,43,42,40,36,31,27,22,25,26,31,45,28,38,42,55,47,36,28,21,16,8,,,,
WPR,NIU,Niue,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,99,86,99,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,80,62,43,55,67,79,76
EUR,MKD,North Macedonia,Pol3,91,91,95,92,96,98,97,97,95,96,96,96,92,98,95,96,97,91,96,95,94,97,94,95,91,99,,,,,,,,,,,,,
EUR,NOR,Norway,Pol3,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,91,91,91,91,92,92,93,92,98,93,84,84,84,80,84,90,90,90,,,
EMR,OMN,Oman,Pol3,99,99,99,99,99,99,99,99,99,96,97,97,98,99,99,99,99,99,99,99,99,99,99,99,97,97,99,95,98,98,90,89,82,60,45,31,24,19,18
EMR,PAK,Pakistan,Pol3,75,75,75,72,69,65,64,63,52,52,53,54,58,63,67,66,64,63,61,60,58,52,46,58,39,37,42,50,54,40,38,36,34,30,23,15,5,3,2
WPR,PLW,Palau,Pol3,98,97,98,89,95,99,89,98,68,48,92,94,98,98,98,99,99,98,96,96,96,90,99,99,34,99,99,98,99,99,99,98,,,,,,,
AMR,PAN,Panama,Pol3,88,81,86,72,80,81,87,91,95,85,86,84,98,88,92,95,99,95,99,94,97,99,92,86,83,83,77,82,86,72,70,74,72,71,65,84,60,74,70
WPR,PNG,Papua New Guinea,Pol3,67,60,73,74,64,80,81,69,72,79,76,72,67,61,59,62,54,52,51,51,49,35,58,68,60,56,57,68,68,52,48,46,42,34,32,27,27,32,29
AMR,PRY,Paraguay,Pol3,88,92,93,93,93,89,89,89,89,82,85,95,98,96,92,86,87,90,86,83,79,75,72,68,70,66,73,68,64,59,70,81,90,99,68,47,39,26,14
AMR,PER,Peru,Pol3,83,83,88,88,78,71,94,91,92,92,93,93,94,66,81,95,95,90,93,96,93,91,93,89,87,88,85,74,73,60,61,45,50,47,28,22,23,20,16
WPR,PHL,Philippines (the),Pol3,66,74,72,79,77,84,88,87,78,86,91,87,88,90,85,85,77,76,74,79,82,82,74,67,71,74,78,90,88,85,78,72,65,58,56,55,51,46,50
EUR,POL,Poland,Pol3,87,90,92,92,94,95,95,96,96,96,96,99,99,99,99,98,98,98,98,98,98,98,97,96,95,95,94,94,96,96,96,96,95,94,95,95,95,95,96
EUR,PRT,Portugal,Pol3,99,98,98,98,98,98,98,97,97,96,97,96,97,93,95,96,96,96,96,96,96,93,95,96,96,92,93,95,89,88,81,81,78,29,21,20,18,16,18
EMR,QAT,Qatar,Pol3,98,97,98,99,99,99,93,92,98,98,98,97,95,98,95,93,96,93,91,92,94,92,92,92,91,90,88,86,82,81,69,86,70,71,60,49,37,43,61
WPR,KOR,Republic of Korea (the),Pol3,98,97,98,98,99,99,99,98,95,95,92,91,98,96,90,94,99,99,99,85,71,81,91,99,93,88,84,79,74,88,91,93,80,80,80,78,70,62,
EUR,MDA,Republic of Moldova (the),Pol3,94,90,91,88,92,92,92,96,97,87,96,93,98,99,98,98,98,98,97,98,98,98,99,97,94,92,93,,,,,,,,,,,,
EUR,ROU,Romania,Pol3,86,82,89,89,94,88,92,89,94,95,95,96,97,97,97,97,98,99,99,98,98,97,97,94,94,91,92,90,92,95,92,90,90,92,,,,,
EUR,RUS,Russian Federation (the),Pol3,96,96,97,97,97,98,98,97,98,98,98,98,98,98,98,97,97,97,97,97,94,91,87,77,68,82,69,,,,,,,,,,,,
AFR,RWA,Rwanda,Pol3,97,98,99,99,98,98,98,93,93,93,97,98,99,95,89,96,85,76,90,85,79,73,89,84,23,83,86,90,83,93,78,86,86,56,41,25,20,15,
